,Unnamed: 0,id,tipo_documento_especialista,texto,label,subset,label_revisada,tipo_documento_especialista_3
161,161,161,Despacho ou decisão saneador(a),"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. De fato, há multiplicidade de ações em nome das mesmas partes, sendo o caso de reunião dos processos, na forma do art. 55, parágrafo 1 do CPC. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 04/11/2019 s 11:15 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 4 de setembro de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
162,162,162,Despacho ou decisão saneador(a),"ESTADO DO CEARÁ PODER JUDICIÁRIO JUIZADO ESPECIAL CÍVEL E CRIMINAL COMARCA DE ARACATI Rua Cel. Alexandrino, 1244, Centro - Aracati/CE. Tel. (88) 3421-4150. E-mail: aracati.jecc@tjce.jus.br Proc. n. 3000220-33.2019.8.06.0035. DECISÃO. Intime-se a parte autora para se manifestar acerca do documento de ID 16555983 no prazo de 15 (quinze) dias. No mesmo prazo, deverá emendar a inicial esclarecendo quando realizou suposta compra, o que foi adquirido, comprovante de pagamento, o número de telefone em que são realizadas supostas exigência e os horários em que isso acontece, tudo sob pena de indeferimento da petição inicial (CPC, art. 321, Parág. Único). Expedientes necessários. Aracati/CE, 27 de junho de 2019 Tony Aluísio Viana Nogueira Juiz de Direito Titular",Despacho ou decisão saneador(a),test,Outro,Outro
163,163,163,,"Tribunal de Justiça do Estado do Ceará Vara Única da Comarca de Lavras da Mangabeira Gabinete do Juiz PJE N 300003-50.2017.8.06.0114 DECISÃO INTERLOCUTÓRIA DE MÉRITO - SANEAMENTO PROCESSUAL Vistos em conclusão. De início, para fins de saneamento processual, importa consignar que a presente ação foi ajuizada em desfavor da Empresa Claudino S/A (Armazém Paraíba), Loja JL Imóveis, Imperatriz Magazine LTDA (Ideal Magazine), Banco Losango S/A (Banco Múltiplo) e Banco Bradescard S/A. Ocorre que, ao analisar detidamente os autos, nota-se que na autuação do processo não se fez constar como requerida a Loja JL Imóveis, de modo que esta ainda sequer foi citada. Por outro lado, no tocante s demais requeridas, vejo que houve acordo entre o autor, devidamente assistido por sua curadora, e os requeridos Armazém Paraíba e Ideal Magazine, consoante se extrai do termo de audiência de conciliação. Com relação ao Banco Bradescard, Losango S/A e Loja Noroeste, verifico que já houve oferecimento de resposta. Deste modo, por questões de economia e celeridade processual, neste ato: 1- HOMOLOGO, para que surta os seus efeitos legais, o acordo firmado entre as partes (constante no id 3994487), extinguindo o feito com resolução do mérito, na forma do artigo 487, inciso III, da alínea ""b"" do CPC, somente com relação aos requeridos Armazém Paraíba e Ideal Magazine; 2- determino a inclusão do requerido Loja JL Imóveis na autuação do processo; 3- determino que seja reservada data para realização de audiência de conciliação entre o autor e a parte constante no item 2, citando-a para comparecer ao ato, através de preposto autorizado; 4- após, sendo frutífera ou não a conciliação, intimem-se as partes para especificarem, no prazo comum de 15 (quinze) dias, se ainda pretendem produzir provas, sob pena de julgamento antecipado da lide. Cumpra-se. Lavras da Mangabeira/CE, data da assinatura. JOÃO PIMENTEL BRITO Juiz de Direito - respondendo",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
164,164,164,,"Processo n 3000015-78.2019.8.06.0075 R.h. Considerando que a parte Promovente se enquadra no conceito de consumidor, enquadrando-se, a meu sentir, no conceito de hipossuficiência, INVERTO O ÔNUS PROBATÓRIO (art. 6, VIII, CDC), pelo que a Promovida deverá fazer prova tanto dos fatos impeditivos, extintivos ou modificativos, alegados; como da inexistência de fato constitutivo do direito dos consumidores/autores. COM EFEITO, intime-se a Promovida de todo o conteúdo do presente decisório, certo de que deverá, no prazo de 15 (quinze) dias, dizer as provas que pretende produzir; certo de que em caso de silêncio o feito será julgado antecipadamente. Eusébio/CE, 1 de novembro de 2019 . FLÁVIA PESSOA MACIEL Juíza Titular",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
165,165,165,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. De fato, há multiplicidade de ações em nome das mesmas partes, sendo o caso de reunião dos processos, na forma do art. 55, parágrafo 1 do CPC. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 04/11/2019 s 09:30 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 4 de setembro de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
167,167,167,,"Processo n 3000426-58.2018.8.06.0075 R.h. Considerando que a parte Promovente se enquadra no conceito de consumidor, enquadrando-se, a meu sentir, no conceito de hipossuficiência, INVERTO O ÔNUS PROBATÓRIO (art. 6, VIII, CDC), pelo que a Promovida deverá fazer prova tanto dos fatos impeditivos, extintivos ou modificativos, alegados; como da inexistência de fato constitutivo do direito dos consumidores/autores. COM EFEITO, intime(m)-se a(s) Promovida(s) de todo o conteúdo do presente decisório, certo de que deverá, no prazo de 15 (quinze) dias, dizer as provas que pretende produzir. Eusébio/CE, 30 de outubro de 2019 . FLÁVIA PESSOA MACIEL Juíza Titular",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
168,168,168,Despacho ou decisão saneador(a),"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 30/10 s 10:15 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Cite-se. Paracuru, 26 de agosto de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
169,169,169,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. De fato, há multiplicidade de ações em nome das mesmas partes, sendo o caso de reunião dos processos, na forma do art. 55, parágrafo 1 do CPC. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 04/11/2019 s 09:00 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 4 de setembro de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
170,170,170,,"Processo n 3000596-93.2019.8.06.0075 EXEQUENTE: ASSOCIACAO TERRAS ALPHAVILLE CEARA 3 EXECUTADO: JOSE MAURICIO LOURENCO DECISÃO Recebi hoje. Cuida-se de Execução Extrajudicial, sob o pálio da Lei 9.099/95. Considerando a disposição inserta no art. 784, X, do Código de Processo Civil;CITE-SE,via postal, nos moldes do disposto no art. 829, do referido diploma processual. Frustrada a ordem de citação, intime-se a parte Exequente para a necessária manifestação. Deixo de fixar honorários advocatícios, nos termos da legislação processual civil, em face das diretrizes traçadas pelo art. 55, inclusive seu parágrafo único, que permitem uma fiel interpretação, de sorte a se aquilatar a vontade do legislador, na espécie. Expedientes necessários. Eusébio/CE, 13/11/2019. FLÁVIA PESSOA MACIEL Juíza Titular",Despacho ou decisão saneador(a),test,Outro,Outro
171,171,171,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. De fato, há multiplicidade de ações em nome das mesmas partes, sendo o caso de reunião dos processos, na forma do art. 55, parágrafo 1 do CPC. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência de instrução e julgamento, desde já designada para o dia 19/8 s 14:00 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. 25 de julho de 2019. BRUNA DOS SANTOS COSTA RODRIGUES MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
172,172,172,Despacho ou decisão saneador(a),"R. h. Assinalo o prazo de 5 (cinco) dias para que o advogado do autor acoste aos autos o competente atestado médico; bem como para que no mesmo prazo, a promovida regularize a representação, sob pena de revelia Defiro, ainda, o prazo de 10 (dez) dias requerido para juntada de réplica. Após cumprimento das obrigações, venham os autos conclusos para julgamento, com observância do disposto o art. 12 do CPC. Cumpra-se. Fortaleza, 10 de outubro de 2019 Walberto Luiz de Albuquerque Pereira Juiz de Direito, respondendo",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
173,173,173,,"TRIBUNAL DE JUSTIÇA DO ESTADO DO CEARÁ VARA ÚNICA DA COMARCA DE PARACURU-CE DECISÃO R.H. Presente a relação de consumo , já que autor e réu enquadram-se, respectivamente na figura de consumidor e fornecedor, INVERTO o ônus da parte em favor do autor ( art. 6, VIII do CDC). Até a audiência una de conciliação, instrução e julgamento, desde já designada para o dia 19/02/2020 s 13:20 horas, o réu deverá apresentar provas e documentos a fim de desconstituir o alegado pelo consumidor. Expedientes necessários. Paracuru, 30 de setembro de 2019. MM. Juiz(a) de Direito",Despacho ou decisão saneador(a),test,Despacho ou decisão saneador(a),Despacho ou decisão saneador(a)
175,175,175,,"COMARCA DE CRATEÚS TRIBUNAL DE JUSTIÇA COMARCA DE CRATEÚS UNIDADE DO JUIZADO ESPECIAL CÍVEL E CRIMINAL Processo Judicial Eletrônico - PJe Rua Jonas Gomes de Freitas, s/n, Campo Velho, Crateús - CE CEP 63701-235 telefone 88 3692.3854 N do processo: 3000067-89.2019.8.06.0070 Classe:TERMO CIRCUNSTANCIADO (278) Assunto:Ameaça Autor(a) do fato:AUTOR DO FATO: OLAVO RODRIGUES DA SILVA Determino que seja designada nova data para realização da audiência de instrução, a ser realizada em 11 de junho de 2019, s 10h00min. O autor do fato já foi citado, conforme certidão do ID 14856599 - Pág. 4, quando foi intimado para a audiência anteriormente designada para o dia 21 de maio de 2019. Determino a inclusão no sistema próprio de AGENDAMENTO para realização da AUDIÊNCIA DE INSTRUÇÃO VIA VIDEOCONFERÊNCIA, devendo constar expressamente na carta precatória de intimação do autor do fato a afirmação que a audiência se dará PELO SISTEMA DA VIDEOCONFERÊNCIA, considerando: a) os termos da Resolução do Órgão Especial n. 12/2018 do TJCE de abril de 2018, a qual versa sobre a utilização do sistema de videoconferência para realização de audiências no âmbito do Poder Judiciário do Estado do Ceará; b) os termos da Resolução Normativa n 105/2010 do Conselho Nacional de Justiça que possibilita o interrogatório do réu por meio do SISTEMA AUDIOVISUAL na hipótese do art. 185, Parágrafo Segundo, inciso I a IV do CPP; c) visar garantir a segurança de magistrados, membros do Ministério Público, Defensores Públicos, advogados, servidores da Justiça e jurisdicionados; d) o esforço do Tribunal de Justiça do Estado do Ceará e do Poder Executivo em construir e aparelhar as unidades judiciais do estado com equipamento adequado para garantir a realização de audiências por videoconferência; e) a simplicidade da audiência audiovisual e a total adequação da videoconferência legislação e aos direitos do preso; f) que o réu responde outros processos criminais na condição de preso provisório; g) a prisão provisória do réu está fundamentada, segundo decisão do Juízo processante, no resguardo ordem pública; h) que o atendimento ao princípio da celeridade processual associado aos problemas de escolta são fundamentos idôneos para justificar a realização de audiência de instrução por videoconferência, dada a dificuldade de comparecimento do preso em Juízo, ainda que por problemas estruturais do Poder Executivo, tal como acena a recente jurisprudência sobre o tema; i) que a realização de interrogatório por meio de videoconferência é medida que objetiva a desburocratização, agilização e economia da justiça. j) que a utilização da videoconferência prestigia o princípio da identidade física do juiz (art. 399 , 2 , do CPP ) e atende a recomendações tanto do Conselho Nacional de Justiça (Plano de Gestão para o funcionamento de Varas Criminais e de Execução Penal - item 3.8.3.2.1.3.2 e Resolução n. 105/2010) quanto do Conselho da Justiça Federal (Provimento n. 13, de 15/03/2013) que tem por escopo facilitar e agilizar o funcionamento da justiça, em busca de uma prestação jurisdicional mais célere e efetiva, em consonância com a garantia da razoável duração do processo inscrita no inc. LVIII do art. 5 da CF/88. Considerando que as testemunhas arroladas pela acusação, Francisco Carlos Martins de Oliveira, Francisco François de Oliveira Filho e Cícero Figueiredo Moura Júnior, agentes penitenciários lotados na Cadeia Pública de Santa Quitéria - CE, deixaram de comparecer audiência de instrução e julgamento designada para o dia 21 de maio de 2019 s 13h15min, embora tenham apresentado petição justificando a ausência audiência (ID 15280111), determino que seja expedido ofício Secretaria de Administração Penitenciária do Estado do Ceará, com fundamento no art. 221, 2, do Código de Processo Penal, requisitando a apresentação das mencionadas testemunhas audiência de instrução ora designada, devendo constar no ofício que em caso de ausência das testemunhas, poderá ser aplicada s testemunhas faltosas a multa prevista no art. 453 do Código de Processo Penal, sem prejuízo do processo penal por crime de desobediência, e condená-las ao pagamento das custas da diligência, em conformidade com o disposto no art. 219 do Código de Processo Penal. Expedientes necessários. Crateús, 28 de maio de 2019 Débora Danielle Pinheiro Ximenes Juíza de Direito",Despacho ou decisão saneador(a),test,Outro,Outro
176,176,176,,"R. h. Cogita-se de Ação de Execução em face de imóvel financiado pelo programa PAR da Caixa Econômica Federal. Antes do recebimento da ação, entendo seja necessário oficiar Caixa Econômica Federal, para informar a este juízo, se o imóvel possui financiamento junto instituição, discriminando seu saldo devedor e se o mutuário encontra-se inadimplente, bem como se tem interesse no presente feito. Empós venham-me conclusos. Fortaleza, 23 de setembro de 2019. Paulo Sérgio dos Reis Juiz de Direito, respondendo",Despacho ou decisão saneador(a),test,Outro,Outro
